@relation processindexfeat-weka.filters.unsupervised.attribute.Remove-R3

@attribute AfterNextPOS numeric
@attribute BeforeLastPOS numeric
@attribute LastWordForm numeric
@attribute LastWordPOS numeric
@attribute NextWordForm numeric
@attribute NextWordPOS numeric
@attribute SentenceLength numeric
@attribute WordForm numeric
@attribute WordPOS numeric
@attribute ProcessPercentage numeric

@data
14,48,1,1,0,4,18,14490,4,0.055556
5,1,14490,4,26,14,18,0,4,0.444444
12,4,0,4,2826,5,18,26,14,0.111111
26,4,26,14,547,12,18,2826,5,0.166667
14,14,2826,5,548,26,18,547,12,0.222222
27,5,547,12,26,14,18,548,26,0.277778
25,12,548,26,98,27,18,26,14,0.333333
3,26,26,14,1926,25,18,98,27,0.388889
6,14,98,27,21,3,18,1926,25,1
2,27,1926,25,2699,6,18,21,3,0.5
3,25,21,3,149,2,18,2699,6,0.555556
26,3,2699,6,94,3,18,149,2,0.888889
6,6,149,2,39649,26,18,94,3,0.666667
4,2,94,3,331,6,18,39649,26,0.611111
5,3,39649,26,2282,4,18,331,6,0.833333
20,26,331,6,2883,5,18,2282,4,0.777778
47,6,2282,4,43,20,18,2883,5,0.722222
49,4,2883,5,44373,47,18,43,20,0.944444
21,48,1,1,0,4,13,285,4,0.076923
6,1,285,4,317,21,13,0,4,0.230769
2,4,0,4,2828,6,13,317,21,0.153846
4,4,317,21,7,2,13,2828,6,1
4,21,2828,6,0,4,13,7,2,0.846154
14,6,7,2,1262,4,13,0,4,0.307692
3,2,0,4,26,14,13,1262,4,0.769231
4,4,1262,4,21,3,13,26,14,0.384615
28,4,26,14,15018,4,13,21,3,0.615385
6,14,21,3,6505,28,13,15018,4,0.538462
20,3,15018,4,555,6,13,6505,28,0.461538
47,4,6505,28,43,20,13,555,6,0.692308
49,28,555,6,44373,47,13,43,20,0.923077
14,48,1,1,7752,4,26,21704,4,0.038462
5,1,21704,4,26,14,26,7752,4,1
12,4,7752,4,2214,5,26,26,14,0.076923
26,4,26,14,547,12,26,2214,5,0.115385
15,14,2214,5,548,26,26,547,12,0.153846
26,5,547,12,73,15,26,548,26,0.923077
6,12,548,26,1161,26,26,73,15,0.192308
2,26,73,15,2828,6,26,1161,26,0.230769
4,15,1161,26,7,2,26,2828,6,0.538462
4,26,2828,6,11024,4,26,7,2,0.423077
4,6,7,2,1762,4,26,11024,4,0.346154
4,2,11024,4,25077,4,26,1762,4,0.307692
14,4,1762,4,2562,4,26,25077,4,0.269231
17,4,25077,4,26,14,26,2562,4,0.384615
11,4,2562,4,37,17,26,26,14,0.461538
3,4,26,14,1725,11,26,37,17,0.5
26,14,37,17,94,3,26,1725,11,0.884615
6,17,1725,11,39649,26,26,94,3,0.615385
2,11,94,3,331,6,26,39649,26,0.576923
3,3,39649,26,7,2,26,331,6,0.846154
26,26,331,6,166,3,26,7,2,0.807692
26,6,7,2,2557,26,26,166,3,0.730769
6,2,166,3,1726,26,26,2557,26,0.692308
20,3,2557,26,6575,6,26,1726,26,0.653846
47,26,1726,26,43,20,26,6575,6,0.769231
49,26,6575,6,44373,47,26,43,20,0.961538
2,48,1,1,3122,6,36,103,3,0.027778
6,1,103,3,7,2,36,3122,6,0.333333
18,3,3122,6,26422,6,36,7,2,0.277778
11,6,7,2,1183,18,36,26422,6,0.25
19,2,26422,6,1423,11,36,1183,18,0.055556
25,6,1183,18,40,19,36,1423,11,0.222222
4,18,1423,11,159,25,36,40,19,0.083333
6,11,40,19,14801,4,36,159,25,0.194444
12,19,159,25,9589,6,36,14801,4,0.138889
21,25,14801,4,13921,12,36,9589,6,0.111111
11,4,9589,6,106,21,36,13921,12,0.166667
3,6,13921,12,2541,11,36,106,21,0.305556
26,12,106,21,94,3,36,2541,11,0.944444
6,21,2541,11,766,26,36,94,3,0.388889
2,11,94,3,3152,6,36,766,26,0.361111
6,3,766,26,7,2,36,3152,6,0.861111
12,26,3152,6,11625,6,36,7,2,0.472222
2,6,7,2,14067,12,36,11625,6,0.416667
3,2,11625,6,170,2,36,14067,12,0.444444
6,6,14067,12,94,3,36,170,2,0.694444
2,12,170,2,555,6,36,94,3,0.5
12,2,94,3,7,2,36,555,6,0.666667
11,3,555,6,1361,12,36,7,2,0.638889
19,6,7,2,15307,11,36,1361,12,0.611111
23,2,1361,12,40,19,36,15307,11,0.583333
29,12,15307,11,52,23,36,40,19,0.555556
2,11,40,19,280,29,36,52,23,0.527778
5,19,52,23,282,2,36,280,29,0.722222
12,23,280,29,1420,5,36,282,2,0.75
2,29,282,2,547,12,36,1420,5,0.777778
14,2,1420,5,596,2,36,547,12,0.805556
12,5,547,12,26,14,36,596,2,0.833333
17,12,596,2,1271,12,36,26,14,0.916667
20,2,26,14,1699,17,36,1271,12,0.888889
47,14,1271,12,43,20,36,1699,17,1
49,12,1699,17,44373,47,36,43,20,0.972222
6,48,1,1,26422,6,32,9,3,0.0625
14,1,9,3,8099,6,32,26422,6,0.03125
6,3,26422,6,26,14,32,8099,6,0.25
14,6,8099,6,0,6,32,26,14,0.09375
21,6,26,14,26,14,32,0,6,0.125
18,14,0,6,317,21,32,26,14,0.15625
26,6,26,14,7457,18,32,317,21,0.21875
2,14,317,21,11567,26,32,7457,18,0.1875
23,21,7457,18,1183,2,32,11567,26,0.9375
21,18,11567,26,52,23,32,1183,2,0.3125
3,26,1183,2,14205,21,32,52,23,0.28125
12,2,52,23,21,3,32,14205,21,0.84375
14,23,14205,21,16845,12,32,21,3,0.34375
2,21,21,3,26,14,32,16845,12,0.375
18,3,16845,12,462,2,32,26,14,0.40625
26,12,26,14,1054,18,32,462,2,0.8125
12,14,462,2,4622,26,32,1054,18,0.4375
19,2,1054,18,13223,12,32,4622,26,0.46875
23,18,4622,26,40,19,32,13223,12,0.78125
28,26,13223,12,52,23,32,40,19,0.75
12,12,40,19,12750,28,32,52,23,0.71875
32,19,52,23,12657,12,32,12750,28,0.6875
13,23,12750,28,169,32,32,12657,12,0.65625
39,28,12657,12,631,13,32,169,32,0.5
12,12,169,32,446,39,32,631,13,0.625
26,32,631,13,5217,12,32,446,39,0.53125
14,13,446,39,185,26,32,5217,12,0.5625
12,39,5217,12,26,14,32,185,26,0.59375
17,12,185,26,1271,12,32,26,14,0.90625
20,26,26,14,51,17,32,1271,12,0.875
47,14,1271,12,43,20,32,51,17,1
49,12,51,17,44373,47,32,43,20,0.96875
14,48,1,1,50,4,26,0,4,0.038462
3,1,0,4,26,14,26,50,4,0.576923
6,4,50,4,21,3,26,26,14,0.076923
2,4,26,14,2380,6,26,21,3,0.115385
26,14,21,3,7,2,26,2380,6,0.5
26,3,2380,6,505,26,26,7,2,0.307692
4,6,7,2,2840,26,26,505,26,0.230769
4,2,505,26,30419,4,26,2840,26,0.192308
32,26,2840,26,1474,4,26,30419,4,0.153846
21,26,30419,4,169,32,26,1474,4,0.269231
4,4,1474,4,114,21,26,169,32,0.346154
12,4,169,32,14801,4,26,114,21,0.461538
14,32,114,21,9596,12,26,14801,4,0.384615
17,21,14801,4,26,14,26,9596,12,0.423077
28,4,9596,12,1914,17,26,26,14,0.538462
6,12,26,14,1338,28,26,1914,17,1
